name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height,manufactured_as
GRUMMAN G73T Turbo Mallard,GRUMMAN,G73T Turbo Mallard,Narrow,High wing,Fixed Wing,T-tail,Turboprop,Multi,20.30 m,14.70 m,5.72 m,"['GRUMMAN G-73T Turbo Mallard', 'GRUMMAN Turbo Mallard', 'FRAKES Turbo Mallard', 'FRAKES G-73T Turbo Mallard']"
GRUMMAN Gulfstream 2,GRUMMAN,Gulfstream 2,Narrow,,Fixed Wing,,Jet,Multi,20.98 m,24.36 m,7.47 m,"['GRUMMAN AMERICAN Gulfstream 2TT', 'GULFSTREAM AMERICAN G-1159 Gulfstream 2', 'GULFSTREAM AMERICAN Gulfstream 2SP', 'GULFSTREAM AMERICAN Gulfstream 2TT', 'GULFSTREAM AMERICAN Gulfstream 2', 'GRUMMAN C-20J Gulfstream 2SP', 'GULFSTREAM AMERICAN G-1159TT Gulfstream 2TT', 'GRUMMAN G-1159B Gulfstream 2B', 'GULFSTREAM AMERICAN G-1159B Gulfstream 2B', 'GRUMMAN G-1159 Gulfstream 2', 'GULFSTREAM AMERICAN Gulfstream 2B', 'GRUMMAN G-1159 Gulfstream 2SP', 'GULFSTREAM AMERICAN G-1159 Gulfstream 2SP', 'GRUMMAN AMERICAN G-1159 Gulfstream 2', 'GRUMMAN AMERICAN G-1159 Gulfstream 2SP', 'GRUMMAN AMERICAN G-1159B Gulfstream 2B', 'GRUMMAN AMERICAN G-1159TT Gulfstream 2TT', 'GRUMMAN AMERICAN Gulfstream 2', 'GRUMMAN AMERICAN Gulfstream 2B', 'GRUMMAN AMERICAN Gulfstream 2SP', 'GRUMMAN Gulfstream 2', 'GRUMMAN Gulfstream 2B', 'GRUMMAN Gulfstream 2SP', 'GRUMMAN VC-11 Gulfstream 2']"
GRUMMAN Daya,GRUMMAN,Daya,Narrow,,Fixed Wing,,Turboprop,Multi,24.60 m,17.60 m,5.60 m,"['NORTHROP GRUMMAN TE-2 Hawkeye', 'NORTHROP GRUMMAN Hawkeye', 'NORTHROP GRUMMAN E-2 Hawkeye', 'GRUMMAN E-2 Daya', 'GRUMMAN E-2 Hawkeye', 'GRUMMAN Daya', 'GRUMMAN Hawkeye', 'GRUMMAN TE-2 Hawkeye']"
GULFSTREAM AEROSPACE 695 Jetprop Commander 1000,GULFSTREAM AEROSPACE,695 Jetprop Commander 1000,Narrow,High wing,Fixed Wing,Regular tail (Dihedral),Turboprop,Multi,14.50 m,11.22 m,4.56 m,"['ROCKWELL Jetprop Commander 980', 'ROCKWELL Jetprop Commander 1000', 'ROCKWELL 695 Jetprop Commander 980', 'ROCKWELL 695 Jetprop Commander 1000', 'GULFSTREAM AEROSPACE 695 Jetprop Commander 980', 'GULFSTREAM AMERICAN Jetprop Commander 1000', 'GULFSTREAM AMERICAN Jetprop Commander 980', 'GULFSTREAM AMERICAN 695 Jetprop Commander 980', 'GULFSTREAM AMERICAN 695 Jetprop Commander 1000', 'GULFSTREAM AEROSPACE 695 Jetprop Commander 1000', 'GULFSTREAM AEROSPACE Jetprop Commander 1000', 'GULFSTREAM AEROSPACE Jetprop Commander 980']"
GULFSTREAM AEROSPACE Gulfstream G280,GULFSTREAM AEROSPACE,Gulfstream G280,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,19.20 m,20.30 m,6.50 m,
GULFSTREAM AEROSPACE Gulfstream 3,GULFSTREAM AEROSPACE,Gulfstream 3,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,23.70 m,25.30 m,7.40 m,"['GULFSTREAM AEROSPACE C-20B Gulfstream 3', 'GULFSTREAM AEROSPACE C-20C Gulfstream 3', 'GULFSTREAM AEROSPACE C-20D Gulfstream 3', 'GULFSTREAM AEROSPACE C-20E Gulfstream 3', 'GULFSTREAM AEROSPACE G-1159A Gulfstream 3', 'GULFSTREAM AEROSPACE G-1159A Gulfstream SRA-1', 'GULFSTREAM AMERICAN Gulfstream SMA-3', 'GULFSTREAM AMERICAN Gulfstream 3', 'GULFSTREAM AMERICAN G-1159A Gulfstream SMA-3', 'GULFSTREAM AMERICAN G-1159A Gulfstream 3', 'GULFSTREAM AEROSPACE Gulfstream 3', 'GULFSTREAM AEROSPACE Gulfstream SRA-1', 'GULFSTREAM AEROSPACE C-20A Gulfstream 3']"
GULFSTREAM AEROSPACE Gulfstream 4,GULFSTREAM AEROSPACE,Gulfstream 4,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,23.70 m,26.90 m,7.40 m,"['GULFSTREAM AEROSPACE S102 Gulfstream 4', 'GULFSTREAM AEROSPACE Tp102 Gulfstream 4', 'GULFSTREAM AEROSPACE U-4 Gulfstream 4', 'GULFSTREAM AEROSPACE G-4 Gulfstream G400', 'GULFSTREAM AEROSPACE G-4 Gulfstream 4SP', 'GULFSTREAM AEROSPACE C-20F Gulfstream 4', 'GULFSTREAM AEROSPACE C-20G Gulfstream 4', 'GULFSTREAM AEROSPACE C-20H Gulfstream 4', 'GULFSTREAM AEROSPACE G-4X Gulfstream G450', 'GULFSTREAM AEROSPACE Gulfstream 4', 'GULFSTREAM AEROSPACE G-4 Gulfstream 4', 'GULFSTREAM AEROSPACE Gulfstream 4SP', 'GULFSTREAM AEROSPACE G-4 Gulfstream G300', 'GULFSTREAM AEROSPACE Gulfstream G300', 'GULFSTREAM AEROSPACE G-4 Gulfstream G350', 'GULFSTREAM AEROSPACE Gulfstream G350', 'GULFSTREAM AEROSPACE G-4 Gulfstream SRA-4', 'GULFSTREAM AEROSPACE Gulfstream G400', 'GULFSTREAM AEROSPACE Gulfstream G450', 'GULFSTREAM AEROSPACE Gulfstream SRA-4']"
GULFSTREAM AEROSPACE Gulfstream 5,GULFSTREAM AEROSPACE,Gulfstream 5,Narrow,,Fixed Wing,,Jet,Multi,28.50 m,29.40 m,7.50 m,"['GULFSTREAM AEROSPACE G-5SP Gulfstream G550', 'GULFSTREAM AEROSPACE C-37 Gulfstream 5', 'GULFSTREAM AEROSPACE Gulfstream G500', 'GULFSTREAM AEROSPACE Gulfstream 5', 'GULFSTREAM AEROSPACE Gulfstream 5SP', 'GULFSTREAM AEROSPACE Gulfstream G550', 'GULFSTREAM AEROSPACE G-5SP Eitam', 'GULFSTREAM AEROSPACE G-5 Shavit', 'GULFSTREAM AEROSPACE Eitam', 'GULFSTREAM AEROSPACE Shavit', 'GULFSTREAM AEROSPACE G-5 Gulfstream 5', 'GULFSTREAM AEROSPACE G-5SP Gulfstream 5SP', 'GULFSTREAM AEROSPACE G-5SP Gulfstream G500']"
GULFSTREAM AEROSPACE G650,GULFSTREAM AEROSPACE,G650,Narrow,,Fixed Wing,,Jet,Multi,30.36 m,30.41 m,7.72 m,
HANDLEY PAGE HP-137 Jetstream,HANDLEY PAGE,HP-137 Jetstream,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,15.85 m,14.37 m,5.32 m,"['SCOTTISH AVIATION Jetstream T.Mk.2', 'SCOTTISH AVIATION Jetstream T.Mk.1', 'JETSTREAM Jetstream T.Mk.1', 'JETSTREAM Jetstream 200', 'JETSTREAM Jetstream T.Mk.2', 'HANDLEY PAGE Jetstream 200', 'HANDLEY PAGE HP-137 Jetstream 200', 'HANDLEY PAGE Jetstream T.Mk.1', 'HANDLEY PAGE Jetstream T.Mk.2']"
HAWKER SIDDELEY HS-748,HAWKER SIDDELEY,HS-748,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,30.00 m,20.40 m,7.60 m,"['HINDUSTAN 748', 'KANPUR 748', 'HAWKER SIDDELEY HS-748', 'HAWKER SIDDELEY HS-748 Andover', 'HAWKER SIDDELEY HS-780 Andover', 'HAWKER SIDDELEY C-91', 'HAWKER SIDDELEY Andover', 'BRITISH AEROSPACE BAe-748', 'AVRO 748', 'AVRO C-91', 'AIL 748']"
HAWKER SIDDELEY Hunter,HAWKER SIDDELEY,Hunter,Narrow,Low swept wing,Fixed Wing,"Regular tail, mid set",Jet,Single,10.26 m,14.00 m,4.01 m,['HAWKER Hunter']
HINDUSTAN ALH Dhruv,HINDUSTAN,ALH Dhruv,Narrow,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,13.20 m,15.87 m,4.98 m,"['HINDUSTAN Dhruv', 'HINDUSTAN ALH Dhruv']"
HONDA HA-420 HondaJet,HONDA,HA-420 HondaJet,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,12.15 m,12.71 m,4.03 m,"['HONDA HA-420 HondaJet', 'HONDA HondaJet']"
HUGHES 369,HUGHES,369,Narrow,Four-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,8.03 m,9.40 m,2.48 m,"['RACA 500', 'MD HELICOPTERS MD-530MG Nightfox', 'MD HELICOPTERS MD-530MG Defender', 'MD HELICOPTERS MD-530F Lifter', 'MD HELICOPTERS MD-500 Nightfox', 'MD HELICOPTERS MD-500 Defender', 'MD HELICOPTERS MD-500', 'MD HELICOPTERS Lifter', 'MCDONNELL DOUGLAS MD-530MG Defender', 'MCDONNELL DOUGLAS MD-500 Nightfox', 'MCDONNELL DOUGLAS MD-500 Defender', 'MCDONNELL DOUGLAS MD-500', 'MCDONNELL DOUGLAS AH-6G', 'MD HELICOPTERS Defender', 'MD HELICOPTERS Nightfox', 'MCDONNELL DOUGLAS MD-530MG Nightfox', 'MCDONNELL DOUGLAS Defender', 'MCDONNELL DOUGLAS Nightfox', 'MCDONNELL DOUGLAS MH-6H', 'MCDONNELL DOUGLAS MD-530F Lifter', 'MCDONNELL DOUGLAS Lifter', 'KOREAN AIR 369', 'KOREAN AIR Defender', 'KOREAN AIR Black Tiger', 'KOREAN AIR 520MK Black Tiger', 'KOREAN AIR 500 Defender', 'KOREAN AIR 500', 'KAWASAKI 500', 'KAWASAKI 369', 'KAWASAKI OH-6', 'HUGHES 500 Defender', 'HUGHES MH-6C', 'HUGHES AH-6C', 'HUGHES Defender', 'HUGHES Cayuse', 'HUGHES MH-6B', 'HUGHES AH-6G', 'HUGHES MH-6E', 'HUGHES MH-6H', 'HUGHES 369', 'HUGHES 500', 'HUGHES 530F', 'HUGHES OH-6 Cayuse', 'BREDANARDI NH-500', 'BOEING MD-500 Defender', 'BOEING MD-500 Nightfox', 'BOEING MD-530F Lifter', 'BOEING MD-530MG Nightfox', 'BOEING Nightfox', 'BOEING MD-530MG Defender', 'BOEING Defender', 'BOEING Lifter', 'BOEING MD-500', 'AGUSTA NH-500']"
HUGHES AH-64 Apache,HUGHES,AH-64 Apache,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,14.63 m,17.73 m,3.87 m,"['WESTLAND Longbow Apache', 'WESTLAND WAH-64 Longbow Apache', 'MCDONNELL DOUGLAS Longbow Apache', 'MCDONNELL DOUGLAS Pethen', 'MCDONNELL DOUGLAS JAH-64 Apache', 'MCDONNELL DOUGLAS AH-64 Pethen', 'MCDONNELL DOUGLAS AH-64 Longbow Apache', 'MCDONNELL DOUGLAS AH-64 Apache', 'MCDONNELL DOUGLAS Apache', 'HUGHES Apache', 'HUGHES JAH-64 Apache', 'HUGHES AH-64 Apache', 'HUGHES 77 Apache', 'FUJI Longbow Apache', 'FUJI AH-64 Longbow Apache', 'BOEING Longbow Apache', 'BOEING AH-64 Longbow Apache']"
IAI 1125 Astra,IAI,1125 Astra,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,16.10 m,16.90 m,5.50 m,"['IAI Astra', 'IAI C-38 Astra', 'IAI Gulfstream G100', 'IAI 1125 Gulfstream G100', 'IAI 1125 Astra']"
IAI 1126 Galaxy,IAI,1126 Galaxy,Narrow,,Fixed Wing,,Jet,Multi,17.40 m,19.00 m,6.40 m,"['IAI Gulfstream G200', 'IAI 1126 Galaxy', 'IAI 1126 Gulfstream G200', 'IAI Galaxy']"
IAI 1121 Jet Commander,IAI,1121 Jet Commander,Narrow,Mid wing,Fixed Wing,"Regular tail, high set",Jet,Multi,13.65 m,15.93 m,4.81 m,"['IAI 1121 Commodore Jet', 'IAI Commodore Jet', 'AERO COMMANDER 1121 Jet Commander', 'AERO COMMANDER Jet Commander']"
IAI 1124 Westwind,IAI,1124 Westwind,Narrow,Mid wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,13.70 m,15.90 m,4.80 m,"['IAI 1124 Westwind 2', 'IAI Westwind (1124)', 'IAI Sea Scan', 'IAI Westwind 1', 'IAI Westwind 2', 'IAI 1124 Sea Scan', 'IAI 1124 Westwind', 'IAI 1124 Westwind 1']"
ILYUSHIN Il-18/20/22/24,ILYUSHIN,Il-18/20/22/24,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,37.40 m,35.90 m,10.20 m,"['ILYUSHIN Il-22 Zebra', 'ILYUSHIN Il-20', 'ILYUSHIN Il-18 Bizon', 'ILYUSHIN Il-18', 'ILYUSHIN Bizon', 'ILYUSHIN Zebra', 'ILYUSHIN Il-24']"
ILYUSHIN Il-38,ILYUSHIN,Il-38,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,37.42 m,39.60 m,10.16 m,['ILYUSHIN Il-38']
ILYUSHIN Il-62,ILYUSHIN,Il-62,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,43.20 m,53.10 m,12.40 m,['ILYUSHIN Il-62']
ILYUSHIN Il-76,ILYUSHIN,Il-76,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,50.50 m,46.60 m,14.80 m,"['ILYUSHIN Il-76', 'ILYUSHIN Il-82', 'ILYUSHIN Il-76 Gajaraj', 'ILYUSHIN Gajaraj', 'ILYUSHIN Il-78']"
ILYUSHIN Il-86/87,ILYUSHIN,Il-86/87,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,48.10 m,59.50 m,15.80 m,"['ILYUSHIN Il-87', 'ILYUSHIN Il-86']"
ILYUSHIN Il-96,ILYUSHIN,Il-96,Wide,Low wing (winglets),Fixed Wing,"Regular tail, mid set",Jet,Multi,55.40 m,63.90 m,15.20 m,['ILYUSHIN Il-96']
IRKUT A-002,IRKUT,A-002,,Two-blade main rotor,Rotary,"Regular tail, mid set",Piston,Single,9.80 m,4.98 m,3.17 m,['IRKUT A-002']
JABIRU Jabiru J230,JABIRU,Jabiru J230,Narrow,High wing,Fixed Wing,"Regular tail, low set",Piston,Single,9.55 m,6.55 m,2.40 m,"['SEABIRD Yamamah J430', 'JABIRU Jabiru J450', 'JABIRU Jabiru J430', 'JABIRU Jabiru J400', 'JABIRU Jabiru J250', 'JABIRU Jabiru J230', 'JABIRU Jabiru J200']"
JODEL D-150 Mascaret,JODEL,D-150 Mascaret,Narrow,,Fixed Wing,,Piston,Single,8.15 m,6.30 m,1.76 m,"['SAN D-150 Mascaret', 'SAN Mascaret', 'JODEL Mascaret', 'JODEL D-150 Mascaret']"
JUNKERS Junkers Ju 52,JUNKERS,Junkers Ju 52,Narrow,Low wing (straight),Fixed Wing,Regular tail (Anhedral),Piston,Multi,29.25 m,18.90 m,4.50 m,"['JUNKERS Ju-52/3m', 'CASA 352L']"
JURCA MJ-2 Tempete,JURCA,MJ-2 Tempete,Narrow,,Fixed Wing,,Piston,Single,6.00 m,5.85 m,2.40 m,"['SIRAVIA Tempete', 'SIRAVIA MJ-22 Tempete', 'JURCA MJ-22 Tempete', 'JURCA MJ-2 Tempete', 'JURCA Tempete', 'JURCA MJ-20 Tempete']"
KAMAN Seasprite,KAMAN,Seasprite,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboprop,Multi,13.41 m,15.90 m,4.72 m,"['KAMAN K-20 Seaprite', 'KAMAN K-894 Super Seasprite', 'KAMAN Seaprite', 'KAMAN SH-2 Seasprite', 'KAMAN SH-2 Super Seasprite', 'KAMAN Super Seasprite']"
KAMAN K-1200 K-Max,KAMAN,K-1200 K-Max,,,Rotary,"Double fin, mid set",Turboshaft,Single,14.70 m,15.80 m,4.14 m,"['KAMAN K-Max', 'KAMAN K-1200 K-Max']"
KAMOV Ka-32,KAMOV,Ka-32,,Twin coaxial three-blade rotor,Rotary,Booms with twin fins,Turboshaft,Multi,15.80 m,11.30 m,5.50 m,
KAMOV Ka-50,KAMOV,Ka-50,,Twin coaxial three-blade rotor,Rotary,Booms with twin fins,Turboshaft,Multi,14.50 m,13.50 m,5.40 m,"['KAMOV Black Shark', 'KAMOV Chernaya Akula', 'KAMOV Ka-50 Werewolf', 'KAMOV Ka-50 Black Shark', 'KAMOV Werewolf', 'KAMOV Ka-50 Chernaya Akula']"
KAMOV Ka-52,KAMOV,Ka-52,,Twin coaxial three-blade rotor,Rotary,Booms with twin fins,Turboshaft,Multi,14.50 m,13.50 m,5.40 m,"['KAMOV Ka-52 Alligator', 'KAMOV Alligator']"
KAWASAKI OH-1,KAWASAKI,OH-1,Narrow,Five-blade main rotor,Rotary,Eight-bladed fan tail,Turboprop,Multi,11.60 m,12.00 m,3.80 m,['KAWASAKI OH-1']
KHRUNICHEV T-411 Aist,KHRUNICHEV,T-411 Aist,Narrow,High wing,Fixed Wing,"Regular tail, mid set",Piston,Single,13.02 m,9.50 m,2.60 m,"['KHRUNICHEV Wolverine', 'KHRUNICHEV Aist', 'KHRUNICHEV T-411 Aist', 'KHRUNICHEV T-411 Wolverine', 'AEROPROGRESS T-411 Aist-2', 'AEROPROGRESS Aist-2']"
LAKE Renegade,LAKE,Renegade,Narrow,High wing,Fixed Wing,Cruciform tail,Piston,Single,11.58 m,8.64 m,3.05 m,"['LANSHE LA-250 Seawolf', 'LANSHE Renegade 2', 'LANSHE Seafury', 'LANSHE LA-250 Seafury', 'LANSHE LA-250 Renegade 2', 'LANSHE Seawolf', 'LAKE LA-250 Turbo Renegade', 'LAKE LA-270 Turbo Renegade', 'LAKE LA-270 Turbo Seafury', 'LAKE LA-250 Seawolf', 'LAKE LA-250 Renegade', 'LAKE LA-250 Seafury', 'LAKE Turbo Renegade', 'LAKE Seafury', 'LAKE Renegade', 'LAKE Turbo Seafury', 'LAKE Seawolf']"
LAKE Buccaneer,LAKE,Buccaneer,Narrow,High wing,Fixed Wing,Cruciform tail,Piston,Single,11.58 m,7.59 m,2.84 m,"['LAKE Buccaneer', 'LAKE LA-200', 'LAKE LA-4 Buccaneer', 'LAKE LA-4']"
LANCAIR Evolution Piston,LANCAIR,Evolution Piston,Narrow,,Fixed Wing,,Piston,Single,11.00 m,9.10 m,1.30 m,['LANCAIR Evolution']
LANCAIR Evolution Turbine,LANCAIR,Evolution Turbine,Narrow,,Fixed Wing,,Turboprop,Single,11.00 m,9.10 m,3.00 m,['LANCAIR Evolution']
LANCAIR Lancair 320,LANCAIR,Lancair 320,Narrow,,Fixed Wing,,Piston,Single,7.16 m,6.40 m,2.13 m,"['PAI Lancair 320', 'NEICO Lancair 360', 'NEICO Lancair 200', 'NEICO Lancair 235', 'NEICO Lancair 320', 'LANCAIR Lancair 235', 'LANCAIR Lancair 360', 'LANCAIR Lancair 200', 'LANCAIR Lancair 320']"
LANCAIR Lancair 4,LANCAIR,Lancair 4,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Single,10.82 m,7.62 m,2.40 m,"['PAI Lancair 4', 'PADC Lancair 4', 'NEICO Lancair 4', 'LANCAIR Lancair 4']"
LANCAIR Lancair ES,LANCAIR,Lancair ES,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Single,10.82 m,7.62 m,2.40 m,"['PADC Lancair ES', 'PAI Lancair ES', 'LANCAIR Lancair Super ES', 'LANCAIR Lancair ES']"
LANCAIR Lancair PropJet 4,LANCAIR,Lancair PropJet 4,Narrow,Low wing (winglets),Fixed Wing,"Regular tail, mid set",Turboprop,Single,10.49 m,7.92 m,2.40 m,['LANCAIR Lancair PropJet 4']
LANCAIR Sentry 4T,LANCAIR,Sentry 4T,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Turboprop,Single,9.10 m,7.92 m,2.40 m,['LANCAIR Sentry 4T']
LANCAIR Synergy,LANCAIR,Synergy,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Single,8.60 m,6.70 m,,"['LANCAIR T-90 Calima', 'CIAC Synergy', 'CIAC T-90 Calima']"
LEAR JET Learjet 23,LEAR JET,Learjet 23,Narrow,Low wing with wing tip tanks,Fixed Wing,T-tail,Jet,Multi,10.84 m,13.18 m,3.84 m,['LEAR JET 23']
LEAR JET Learjet 24,LEAR JET,Learjet 24,Narrow,Low wing with wing tip tanks,Fixed Wing,T-tail,Jet,Multi,10.84 m,13.80 m,3.73 m,"['LEAR JET 24', 'GATES LEARJET 24']"
LEAR JET Learjet 25,LEAR JET,Learjet 25,Narrow,Low wing with wing tip tanks,Fixed Wing,T-tail,Jet,Multi,10.80 m,14.50 m,3.70 m,"['LEAR JET 25', 'GATES LEARJET 25']"
LEARJET Learjet 40,LEARJET,Learjet 40,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,14.56 m,16.93 m,4.31 m,['LEARJET 40']
LEARJET 45,LEARJET,45,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,14.58 m,17.68 m,4.30 m,['LEARJET 45']
LEARJET Learjet 60,LEARJET,Learjet 60,Narrow,Low wing (winglets),Fixed Wing,T-tail,Jet,Multi,13.40 m,17.90 m,4.50 m,['LEARJET 60']
LET L-410/420,LET,L-410/420,Narrow,High wing,Fixed Wing,"Regular tail, high set",Turboprop,Multi,20.00 m,14.40 m,5.80 m,"['LET L-420 Turbolet', 'LET L-410 Turbolet', 'LET Turbolet', 'AIRCRAFT INDUSTRIES Turbolet', 'AIRCRAFT INDUSTRIES L-410 Turbolet']"
LET L-610,LET,L-610,Narrow,High wing,Fixed Wing,Cruciform tail,Turboprop,Multi,25.60 m,21.40 m,8.20 m,['LET L-610']
LOCKHEED C-130,LOCKHEED,C-130,Narrow,High wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,40.40 m,29.80 m,11.80 m,"['ROCKWELL Spectre', 'ROCKWELL AC-130 Spectre', 'LOCKHEED MARTIN Hercules (T-56 engines)', 'LOCKHEED MARTIN L-100 Hercules', 'LOCKHEED WC-130E Hercules', 'LOCKHEED Aya', 'LOCKHEED KC-130B Hercules', 'LOCKHEED WC-130H Hercules', 'LOCKHEED C-130F Hercules', 'LOCKHEED KC-130F Hercules', 'LOCKHEED TC-130 Hercules', 'LOCKHEED C-130 Karnaf', 'LOCKHEED KC-130H Hercules', 'LOCKHEED EC-130 Aya', 'LOCKHEED C-130A Hercules', 'LOCKHEED MARTIN LC-130 Hercules', 'LOCKHEED C-130H Hercules', 'LOCKHEED EC-130Q Hercules', 'LOCKHEED MARTIN C-130H Hercules', 'LOCKHEED C-130K Hercules', 'LOCKHEED L-100 Hercules', 'LOCKHEED MARTIN L-382 Hercules', 'LOCKHEED CC-130 Hercules', 'LOCKHEED KC-130T Hercules', 'LOCKHEED C-130E Hercules', 'LOCKHEED L-282 Hercules', 'LOCKHEED C-130B Hercules', 'LOCKHEED L-382 Hercules', 'LOCKHEED NC-130 Hercules', 'LOCKHEED EC-130 Sapeer', 'LOCKHEED L-182 Hercules', 'LOCKHEED MC-130 Hercules', 'LOCKHEED EC-130E Hercules', 'LOCKHEED HC-130 Hercules', 'LOCKHEED RC-130 Hercules', 'LOCKHEED EC-130G Hercules', 'LOCKHEED KC-130R Hercules', 'LOCKHEED LC-130 Hercules', 'LOCKHEED EC-130H Hercules', 'LOCKHEED Hercules (T-56 engines)', 'LOCKHEED Sapeer', 'LOCKHEED DC-130 Hercules', 'LOCKHEED JC-130 Hercules', 'LOCKHEED VC-130 Hercules', 'LOCKHEED AC-130 Spectre', 'LOCKHEED Karnaf', 'LOCKHEED Tp84 Hercules', 'LOCKHEED Spectre', 'LOCKHEED KC-130 Karnaf']"
LOCKHEED C-141 Starlifter,LOCKHEED,C-141 Starlifter,Narrow,,Fixed Wing,,Jet,Multi,48.80 m,51.30 m,11.80 m,"['LOCKHEED Starlifter', 'LOCKHEED L-300 Starlifter', 'LOCKHEED C-141 Starlifter']"
LOCKHEED C-5 Galaxy,LOCKHEED,C-5 Galaxy,Wide,High wing,Fixed Wing,Regular tail (Anhedral),Jet,Multi,67.90 m,75.30 m,19.80 m,"['LOCKHEED C-5 Galaxy', 'LOCKHEED L-500 Galaxy', 'LOCKHEED Galaxy']"
LOCKHEED F-104 Starfighter,LOCKHEED,F-104 Starfighter,Narrow,Mid wing,Fixed Wing,T-tail,Jet,Single,6.36 m,16.66 m,4.09 m,"['LOCKHEED L-583 Starfighter', 'LOCKHEED L-683 Starfighter', 'LOCKHEED Starfighter', 'LOCKHEED RF-104 Starfighter', 'LOCKHEED TF-104 Starfighter', 'LOCKHEED F-104 Starfighter', 'CANADAIR CL-201 Starfighter', 'CANADAIR CL-90 Starfighter', 'CANADAIR F-104 Starfighter', 'CANADAIR Starfighter', 'CANADAIR CF-104 Starfighter']"
LOCKHEED F-117 Nighthawk,LOCKHEED,F-117 Nighthawk,Narrow,,Fixed Wing,,Jet,Multi,13.20 m,20.10 m,3.80 m,"['LOCKHEED YF-117 Nighthawk', 'LOCKHEED F-117 Nighthawk', 'LOCKHEED Nighthawk']"
LOCKHEED TriStar,LOCKHEED,TriStar,Wide,Low wing,Fixed Wing,"Regular tail, low set",Jet,Multi,47.40 m,54.30 m,16.90 m,"['LOCKHEED TriStar', 'LOCKHEED L-1011 TriStar']"
LOCKHEED Electra,LOCKHEED,Electra,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,30.40 m,31.80 m,10.00 m,"['LOCKHEED Electra (L-188)', 'LOCKHEED L-188 Electra']"
LOCKHEED Jetstar 2/731,LOCKHEED,Jetstar 2/731,Narrow,Low wing,Fixed Wing,"Regular tail, high set",Jet,Multi,16.60 m,18.40 m,6.20 m,"['LOCKHEED L-1329 Jetstar 731', 'LOCKHEED L-1329 Jetstar 2', 'LOCKHEED Jetstar 731', 'LOCKHEED Jetstar 2']"
LOCKHEED Orion,LOCKHEED,Orion,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,30.40 m,35.60 m,11.80 m,"['LOCKHEED MARTIN L-285 Orion', 'LOCKHEED L-685 Orion', 'LOCKHEED MARTIN P-3 Orion', 'LOCKHEED L-785 Orion', 'LOCKHEED UP-3 Orion', 'LOCKHEED VP-3 Orion', 'LOCKHEED TP-3 Orion', 'LOCKHEED WP-3 Orion', 'LOCKHEED RP-3 Orion', 'LOCKHEED CP-140 Arcturus', 'LOCKHEED CP-140 Aurora', 'LOCKHEED Aurora', 'LOCKHEED AP-3 Orion', 'LOCKHEED EP-3 Orion', 'LOCKHEED Arcturus', 'LOCKHEED L-185 Orion', 'LOCKHEED L-285 Orion', 'LOCKHEED MARTIN Orion', 'KAWASAKI UP-3 Orion', 'KAWASAKI Orion', 'KAWASAKI EP-3 Orion', 'KAWASAKI P-3 Orion', 'LOCKHEED NP-3 Orion', 'LOCKHEED Orion', 'LOCKHEED P-3 Orion']"
LOCKHEED MARTIN C-130J Hercules,LOCKHEED MARTIN,C-130J Hercules,Narrow,High wing,Fixed Wing,"Regular tail, low set",Turboprop,Multi,40.40 m,29.80 m,11.84 m,"['LOCKHEED MARTIN Hercules (AE-2100 engines)', 'LOCKHEED MARTIN KC-130J Hercules', 'LOCKHEED MARTIN EC-130J Hercules', 'LOCKHEED MARTIN WC-130J Hercules', 'LOCKHEED MARTIN CC-130J Hercules', 'LOCKHEED MARTIN HC-130J Hercules', 'LOCKHEED MARTIN C-130J Hercules']"
